day_id,time_step,L,PV,WT
298,1,53.18320924,0.00000000,0.67319220
298,2,51.12405222,0.00000000,1.05614040
298,3,46.94765825,0.00000000,1.63477860
298,4,38.08412091,0.00000000,0.72845930
298,5,37.54918732,0.00000000,1.44990810
298,6,40.68514545,0.00000000,0.31422700
298,7,43.94224368,0.00000000,0.00000000
298,8,43.09427201,0.00000000,0.00000000
298,9,35.70108963,0.00000000,0.28643670
298,10,33.33212661,0.00000000,0.00000000
298,11,28.10473671,0.00000000,0.00000000
298,12,30.10940975,0.00000000,0.00000000
298,13,32.50615999,0.00000000,0.00000000
298,14,36.36417052,0.00000000,0.00000000
298,15,39.07184023,0.00000000,0.00000000
298,16,35.78513381,0.00000000,0.00000000
298,17,35.48089176,0.00000000,0.00000000
298,18,33.23118677,0.00000000,0.20967210
298,19,33.83256499,0.00000000,0.32633350
298,20,34.02866147,0.00000000,0.30584990
298,21,31.40973023,0.00000000,0.00000000
298,22,33.63657796,0.00000000,0.00000000
298,23,32.48653204,0.00000000,0.00000000
298,24,41.32754140,0.00000000,0.01109030
298,25,43.47205372,0.00000000,0.02701740
298,26,47.10790050,0.00000000,4.80491700
298,27,36.95823102,0.00000000,7.13599110
298,28,37.00182188,0.00000000,4.46757540
298,29,32.85912957,0.00000000,5.60748520
298,30,38.74963702,0.00000000,7.19857870
298,31,35.13198971,0.00000000,7.57142410
298,32,40.58030799,0.00000000,8.47285010
298,33,46.63078528,0.00000000,4.48627760
298,34,52.33150826,0.00000000,1.97222770
298,35,53.16102894,0.00000000,2.68998800
298,36,49.29275045,0.13218520,2.73256190
298,37,52.29729399,0.20786750,3.46549850
298,38,58.11832416,0.31018100,3.59191020
298,39,72.63598344,0.56770130,4.62486290
298,40,80.54110233,0.98510380,5.80440170
298,41,89.99464090,1.13909390,9.05292160
298,42,87.84764618,1.39132450,6.10207840
298,43,91.31618527,1.64132200,5.29155110
298,44,90.40731825,1.85719620,4.77974900
298,45,100.79872691,1.94402730,5.20010710
298,46,104.01215681,2.03700340,3.55906910
298,47,106.13954201,2.92477870,3.03790870
298,48,98.56548367,3.62260550,0.99943760
298,49,96.40159712,4.17764910,5.18823890
298,50,98.96449424,4.36330930,4.12420170
298,51,104.98994557,4.56994310,3.72231910
298,52,108.46342146,5.12397580,5.53820220
298,53,108.56330780,5.14708880,5.60031030
298,54,112.07384249,5.24279790,7.01655270
298,55,120.35877450,4.82235620,8.07462620
298,56,124.13906088,5.65709190,7.33215750
298,57,115.13360778,5.97329490,6.73677340
298,58,100.86931282,5.20047050,6.70693700
298,59,86.78921809,4.49950140,6.03673840
298,60,83.50722149,4.53199380,5.39041940
298,61,75.51540335,4.48232280,5.75963660
298,62,77.05555112,4.16535870,7.09598100
298,63,69.95040302,4.03629350,7.42983280
298,64,69.99505731,3.06652830,5.95639570
298,65,61.33712277,2.56689010,7.84048000
298,66,61.70281263,2.13849980,14.58375490
298,67,65.42200625,2.00682430,16.86820750
298,68,79.35914413,1.66983100,18.17777780
298,69,99.46583916,1.67971550,8.24345530
298,70,108.45491022,1.35125630,16.60676950
298,71,109.99404337,1.24250210,20.90614020
298,72,103.98909549,0.00000000,19.65811350
298,73,110.23764972,0.00000000,10.30153050
298,74,116.08361554,0.00000000,9.63381010
298,75,115.50768716,0.00000000,14.06654820
298,76,109.11067388,0.00000000,6.38143000
298,77,102.67543114,0.00000000,5.34035300
298,78,103.48056613,0.00000000,11.08461080
298,79,100.72249664,0.00000000,9.12446750
298,80,102.95086403,0.00000000,5.40522720
298,81,105.15548108,0.00000000,6.26599230
298,82,112.02028640,0.00000000,7.11717080
298,83,114.02452190,0.00000000,2.80996130
298,84,111.34389445,0.00000000,1.67696760
298,85,101.91455032,0.00000000,1.84465750
298,86,95.90473437,0.00000000,2.21951500
298,87,94.68954186,0.00000000,0.02104140
298,88,103.07458255,0.00000000,9.10661310
298,89,103.81265270,0.00000000,13.37911670
298,90,100.80494139,0.00000000,12.65217640
298,91,90.21731241,0.00000000,7.15990410
298,92,86.86426719,0.00000000,6.33080040
298,93,81.54514926,0.00000000,7.47779270
298,94,73.89639258,0.00000000,11.40207690
298,95,56.90395198,0.00000000,12.63681230
298,96,43.66180391,0.00000000,11.68414020
121,1,82.60174954,0.00000000,39.46311140
121,2,83.58099416,0.00000000,39.89562650
121,3,86.35912973,0.00000000,44.32692660
121,4,85.15958833,0.00000000,48.78824900
121,5,86.67975642,0.00000000,53.31019990
121,6,82.49532722,0.00000000,55.35649140
121,7,81.35250197,0.00000000,52.45200950
121,8,80.44264661,0.00000000,50.71702160
121,9,83.88516547,0.00000000,51.32151210
121,10,87.45624788,0.00000000,51.02366500
121,11,82.99859887,0.00000000,48.92156550
121,12,75.96310807,0.00000000,42.76289780
121,13,63.01401033,0.00000000,28.49144120
121,14,54.23505424,0.00000000,17.54930300
121,15,48.27760235,0.00000000,13.26607140
121,16,44.89688328,0.00000000,10.33436370
121,17,43.25785213,0.00000000,7.72894530
121,18,40.18768604,0.00000000,2.99605950
121,19,45.18357895,0.00000000,3.46289700
121,20,44.89011144,0.00000000,4.50155840
121,21,46.08189667,0.00000000,6.68393110
121,22,35.06326329,0.00000000,7.90440200
121,23,34.85672666,0.00000000,7.20108280
121,24,29.61470592,0.00000000,7.11617650
121,25,32.96402106,0.00000000,8.26807170
121,26,27.54797720,0.00000000,8.78307440
121,27,32.67156280,0.00000000,8.02424240
121,28,41.01256759,0.00000000,7.56337670
121,29,50.91946985,0.00000000,7.69838080
121,30,53.13829922,0.00000000,8.16729560
121,31,49.07019934,0.00000000,9.30396610
121,32,49.56751322,0.00000000,10.21462340
121,33,59.71409785,0.00000000,10.67319430
121,34,92.05181308,0.00000000,33.86887090
121,35,120.08276741,0.00000000,79.64648240
121,36,144.30417886,1.44893800,80.32385210
121,37,146.05497266,2.25914030,82.58273170
121,38,152.92419543,3.59305960,83.68004770
121,39,155.39316985,6.39528500,82.45422620
121,40,160.00000000,10.50004600,79.57806280
121,41,160.00000000,11.75153020,73.40122620
121,42,160.00000000,14.69767130,72.33778920
121,43,160.00000000,18.40065660,81.50118210
121,44,160.00000000,20.43947420,88.51107850
121,45,160.00000000,21.39884440,91.21403070
121,46,160.00000000,22.20641980,89.86949020
121,47,160.00000000,31.30854210,80.43002810
121,48,160.00000000,38.75666520,73.35908580
121,49,160.00000000,43.68196050,68.08892950
121,50,160.00000000,47.08058590,69.11775950
121,51,160.00000000,50.36872150,74.73246440
121,52,160.00000000,56.93084440,75.08165080
121,53,160.00000000,58.07574320,64.90017510
121,54,152.22956029,55.87038200,49.92405780
121,55,146.13416238,50.67560050,25.35902730
121,56,135.09148635,60.91450770,8.88727180
121,57,134.92779361,63.51490950,8.60242180
121,58,122.83378983,56.90174310,7.57273110
121,59,114.61865632,48.64783960,5.05369280
121,60,99.11727156,48.66216910,3.41907470
121,61,93.54320694,50.15678620,2.52259040
121,62,92.91485887,45.58279260,0.51299680
121,63,100.89100167,42.56997620,0.34823060
121,64,111.31473169,34.14890760,0.19195020
121,65,110.47077035,28.47276460,0.05287370
121,66,104.40225665,22.25600230,0.00000000
121,67,97.78570892,21.71912770,0.00000000
121,68,102.43175481,18.90861990,0.00000000
121,69,103.42496009,18.14994250,0.00000000
121,70,101.59747975,13.55018810,0.00000000
121,71,94.00336146,13.03518370,0.00000000
121,72,90.02412170,0.00000000,0.00000000
121,73,87.96636197,0.00000000,0.00000000
121,74,84.80066846,0.00000000,0.00000000
121,75,83.58051596,0.00000000,0.00000000
121,76,81.11913389,0.00000000,0.00000000
121,77,84.27550271,0.00000000,0.11424750
121,78,85.57271373,0.00000000,0.32418440
121,79,85.41153547,0.00000000,0.45713890
121,80,79.58968839,0.00000000,1.99816940
121,81,77.26276120,0.00000000,4.93513250
121,82,75.14323279,0.00000000,4.62684920
121,83,79.09639251,0.00000000,3.72059020
121,84,74.26503452,0.00000000,2.64536220
121,85,72.32958990,0.00000000,1.23181910
121,86,65.75113418,0.00000000,0.26597280
121,87,65.97335007,0.00000000,0.14006290
121,88,63.64511199,0.00000000,3.49336320
121,89,57.87797652,0.00000000,10.42314250
121,90,46.61439126,0.00000000,10.21195270
121,91,44.26294190,0.00000000,9.45761090
121,92,48.93822324,0.00000000,9.10654700
121,93,54.86120170,0.00000000,9.56163000
121,94,51.79763537,0.00000000,9.28328000
121,95,43.88729515,0.00000000,7.53767350
121,96,39.46398185,0.00000000,5.71451020
233,1,50.97763806,0.00000000,0.76074890
233,2,49.28993606,0.00000000,0.00000000
233,3,46.26938348,0.00000000,0.00000000
233,4,38.72230817,0.00000000,0.04435270
233,5,40.60974691,0.00000000,0.16568200
233,6,45.42302162,0.00000000,0.39185210
233,7,51.30020609,0.00000000,1.06569680
233,8,51.00170408,0.00000000,2.33566220
233,9,43.84050244,0.00000000,4.79771920
233,10,39.58117420,0.00000000,6.62751510
233,11,33.14411022,0.00000000,7.19261140
233,12,33.88422121,0.00000000,6.92284210
233,13,35.32708168,0.00000000,4.98315210
233,14,38.17918754,0.00000000,3.34939150
233,15,42.08873720,0.00000000,2.32730780
233,16,40.06171310,0.00000000,1.68869910
233,17,40.45798020,0.00000000,1.81688550
233,18,36.97032383,0.00000000,2.23515120
233,19,38.51765790,0.00000000,3.23346540
233,20,40.28439964,0.00000000,4.14595160
233,21,40.01514194,0.00000000,4.88673010
233,22,41.81899537,0.00000000,5.82024450
233,23,41.73961469,0.00000000,7.13924590
233,24,49.32997102,0.00000000,8.19813800
233,25,48.42033309,0.00000000,8.73689540
233,26,47.77212660,0.00000000,9.09172870
233,27,36.77909728,0.00000000,9.07886190
233,28,36.29164453,0.00000000,8.79954470
233,29,32.73956820,0.00000000,7.98752810
233,30,37.12108673,0.00000000,7.54033470
233,31,33.54645840,0.19187660,7.82302660
233,32,38.24716642,0.25935910,7.96598790
233,33,43.98128554,0.31463870,7.82974640
233,34,49.52839526,0.38598350,7.77195670
233,35,48.58855859,0.45922430,7.87132900
